Module                  Size  Used by
irqbypass              16384  1 kvm
snd_soc_core          417792  7 snd_soc_avs,snd_soc_hda_codec,soundwire_intel,snd_sof,snd_soc_sdca,snd_sof_intel_hda_common,snd_soc_hdac_hda
i915                 4837376  43
snd_compress           36864  2 snd_soc_avs,snd_soc_core
ac97_bus               12288  1 snd_soc_core
ee1004                 16384  0
videobuf2_vmalloc      20480  1 uvcvideo
uvc                    12288  1 uvcvideo
videobuf2_memops       16384  1 videobuf2_vmalloc
videobuf2_v4l2         36864  1 uvcvideo
mei_pxp                16384  0
mei_hdcp               28672  0
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
polyval_clmulni        12288  0
ghash_clmulni_intel    12288  0
intel_rapl_msr         20480  0
videodev              364544  2 videobuf2_v4l2,uvcvideo
btusb                  77824  0
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
btrtl                  32768  1 btusb
btintel                69632  1 btusb
btbcm                  24576  1 btusb
snd_pcm_dmaengine      20480  1 snd_soc_core
btmtk                  36864  1 btusb
bluetooth            1032192  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
snd_pcm               200704  15 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_soc_sdca,snd_sof_intel_hda_common,snd_compress,snd_sof_intel_hda_generic,snd_soc_core,snd_sof_utils,snd_hda_core,snd_sof_pci_intel_skl,snd_pcm_dmaengine
cfg80211             1462272  2 rtw88_core,mac80211
drm_buddy              28672  1 i915
aesni_intel            98304  5
libarc4                12288  1 mac80211
rapl                   20480  0
intel_cstate           20480  0
ttm                   126976  1 i915
drm_display_helper    290816  1 i915
snd_seq_midi           24576  0
snd_seq_midi_event     16384  1 snd_seq_midi
snd_rawmidi            57344  1 snd_seq_midi
kxcjk_1013             32768  0
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
cec                    98304  2 drm_display_helper,i915
cm32181                12288  0
intel_pmc_core        135168  0
processor_thermal_device_pci_legacy    12288  0
processor_thermal_device    24576  1 processor_thermal_device_pci_legacy
processor_thermal_wt_hint    16384  1 processor_thermal_device
platform_temperature_control    20480  1 processor_thermal_device
industrialio_triggered_buffer    12288  1 kxcjk_1013
rc_core                73728  1 cec
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
kfifo_buf              12288  1 industrialio_triggered_buffer
hp_wmi                 36864  0
i2c_i801               36864  0
processor_thermal_soc_slider    16384  1 processor_thermal_device
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
processor_thermal_rfim    40960  1 processor_thermal_device
pmt_telemetry          16384  1 intel_pmc_core
intel_wmi_thunderbolt    16384  0
processor_thermal_rapl    16384  1 processor_thermal_device
wmi_bmof               12288  0
pmt_discovery          20480  1 pmt_telemetry
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
industrialio          139264  4 industrialio_triggered_buffer,cm32181,kfifo_buf,kxcjk_1013
mei_me                 53248  2
joydev                 32768  0
input_leds             12288  0
pmt_class              20480  2 pmt_telemetry,pmt_discovery
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
snd                   143360  21 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_hda_codec_alc269,snd_soc_core,snd_pcm,snd_rawmidi
i2c_algo_bit           16384  1 i915
serio_raw              20480  0
processor_thermal_wt_req    12288  1 processor_thermal_device
intel_vbtn             16384  0
processor_thermal_power_floor    12288  1 processor_thermal_device
sparse_keymap          12288  2 hp_wmi,intel_vbtn
soundcore              16384  2 snd_ctl_led,snd
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
intel_vsec             24576  2 intel_pmc_ssram_telemetry,pmt_telemetry
int340x_thermal_zone    16384  1 processor_thermal_device
int3400_thermal        24576  0
wireless_hotkey        12288  0
intel_xhci_usb_role_switch    12288  0
i2c_smbus              20480  1 i2c_i801
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
acpi_thermal_rel       24576  1 int3400_thermal
i2c_mux                12288  1 i2c_i801
intel_pch_thermal      16384  0
platform_profile       20480  2 hp_wmi,processor_thermal_soc_slider
acpi_pad              184320  0
mac_hid                12288  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  5 nft_compat,nf_tables,ip_set
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  6 xt_conntrack,nft_compat,xt_addrtype,xt_set,ip_tables,xt_MASQUERADE
autofs4                57344  2
r8169                 139264  0
psmouse               217088  0
realtek                49152  1
ahci                   49152  2
video                  77824  1 i915
libahci                53248  1 ahci
wmi                    28672  4 hp_wmi,video,intel_wmi_thunderbolt,wmi_bmof
